Name,Price,Discount,Average Rating,Rating Count,Review Count,Memory Details,Screen Dimension,Lens Detail,Battery Capacity,Processor,Warranty,Color,Product Link
"vivo T2x 5G (Glimmer Black, 128 GB)  (6 GB RAM)","₹13,999",26% off,4.5,"32,113 Ratings "," 1,667 Reviews",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,,1 Year of Device & 6 Months for Inbox Accessories,Glimmer Black,https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPW0HJRW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGZBFUF389GDMP.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"vivo T2x 5G (Aurora Gold, 128 GB)  (4 GB RAM)","₹12,999",27% off,4.5,"19,703 Ratings ", 968 Reviews,4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,,1 Year of Device & 6 Months for Inbox Accessories,Aurora Gold,https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUQMTHYHSH&lid=LSTMOBGZBFUQMTHYHSHXWZGSH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGZBFUQMTHYHSH.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"Infinix HOT 30i (Diamond White, 64 GB)  (4 GB RAM)","₹7,999",20% off,4.2,"4,544 Ratings ", 264 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,,1 Year on Handset and 6 Months on Accessories,Diamond White,https://www.flipkart.com/infinix-hot-30i-diamond-white-64-gb/p/itm8b42a43b35895?pid=MOBGNPK4PTXGANTP&lid=LSTMOBGNPK4PTXGANTPXFOPAU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGNPK4PTXGANTP.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"vivo T2x 5G (Aurora Gold, 128 GB)  (8 GB RAM)","₹15,999",23% off,4.4,"8,042 Ratings ", 425 Reviews,8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,,1 Year of Device & 6 Months for Inbox Accessories,Aurora Gold,https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUSEFSWASX&lid=LSTMOBGZBFUSEFSWASXKM9M4E&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGZBFUSEFSWASX.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"vivo T2x 5G (Glimmer Black, 128 GB)  (8 GB RAM)","₹15,999",23% off,4.4,"8,042 Ratings ", 425 Reviews,8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,,1 Year of Device & 6 Months for Inbox Accessories,Glimmer Black,https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEHY68W1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGZBFUZEMCKRGE.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"Infinix HOT 30i (Glacier Blue, 128 GB)  (8 GB RAM)","₹9,299",22% off,4.2,"19,144 Ratings "," 1,142 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,,1 Year on Handset and 6 Months on Accessories,Glacier Blue,https://www.flipkart.com/infinix-hot-30i-glacier-blue-128-gb/p/itm8b42a43b35895?pid=MOBGNPK2ZTGZBRXE&lid=LSTMOBGNPK2ZTGZBRXEAFQ5YT&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_16&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGNPK2ZTGZBRXE.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"Infinix HOT 30i (Diamond White, 128 GB)  (8 GB RAM)","₹9,299",22% off,4.2,"19,144 Ratings "," 1,142 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,,1 Year on Handset and 6 Months on Accessories,Diamond White,https://www.flipkart.com/infinix-hot-30i-diamond-white-128-gb/p/itm8b42a43b35895?pid=MOBGNPK29ZWFHGGD&lid=LSTMOBGNPK29ZWFHGGDKTDNDX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGNPK29ZWFHGGD.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"Infinix HOT 30i (Glacier Blue, 64 GB)  (4 GB RAM)","₹7,999",20% off,4.2,"4,544 Ratings ", 264 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,,1 Year on Handset and 6 Months on Accessories,Glacier Blue,https://www.flipkart.com/infinix-hot-30i-glacier-blue-64-gb/p/itm8b42a43b35895?pid=MOBGNPK2BBNPWJYR&lid=LSTMOBGNPK2BBNPWJYRIQDVWM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGNPK2BBNPWJYR.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"Infinix HOT 30i (Mirror Black, 64 GB)  (4 GB RAM)","₹7,999",20% off,4.2,"4,544 Ratings ", 264 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,,1 Year on Handset and 6 Months on Accessories,Mirror Black,https://www.flipkart.com/infinix-hot-30i-mirror-black-64-gb/p/itm8b42a43b35895?pid=MOBGNPK2QRUEBEHG&lid=LSTMOBGNPK2QRUEBEHGKBH4RF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGNPK2QRUEBEHG.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"vivo T2x 5G (Aurora Gold, 128 GB)  (6 GB RAM)","₹13,999",26% off,4.5,"32,113 Ratings "," 1,667 Reviews",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,,1 Year of Device & 6 Months for Inbox Accessories,Aurora Gold,https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSI1GIZR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGZBFUFNDXSGHS.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"vivo T2x 5G (Marine Blue, 128 GB)  (6 GB RAM)","₹13,999",26% off,4.5,"32,113 Ratings "," 1,667 Reviews",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,,1 Year of Device & 6 Months for Inbox Accessories,Marine Blue,https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFU4HBKKFSN&lid=LSTMOBGZBFU4HBKKFSN2DPZTT&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_21&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGZBFU4HBKKFSN.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"vivo T2x 5G (Glimmer Black, 128 GB)  (4 GB RAM)","₹12,999",27% off,4.5,"19,703 Ratings ", 968 Reviews,4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,,1 Year of Device & 6 Months for Inbox Accessories,Glimmer Black,https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWSIG1N1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGZBFUZDW5JHYW.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"vivo T2x 5G (Marine Blue, 128 GB)  (4 GB RAM)","₹12,999",27% off,4.5,"19,703 Ratings ", 968 Reviews,4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,,1 Year of Device & 6 Months for Inbox Accessories,Marine Blue,https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUPTU7DNCA&lid=LSTMOBGZBFUPTU7DNCAIBDO3Z&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGZBFUPTU7DNCA.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"OPPO A17k (Blue, 64 GB)  (3 GB RAM)","₹9,499",26% off,4.5,"4,685 Ratings ", 116 Reviews,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.66 cm (6.56 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,,1 Year on Handset and 6 Months on AccessoriesKnow More,Blue,https://www.flipkart.com/oppo-a17k-blue-64-gb/p/itm3821c4535ee09?pid=MOBGMPHKV3T6YGMR&lid=LSTMOBGMPHKV3T6YGMR4IX81Q&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=browse&fm=organic&iid=ff071216-67e4-4097-88e9-f0f698d3ea76.MOBGMPHKV3T6YGMR.SEARCH&ppt=browse&ppn=browse&ssid=5d0aqo3pn40000001686306362225
"vivo T2x 5G (Aurora Gold, 128 GB)  (4 GB RAM)","₹12,999",27% off,4.5,"19,703 Ratings ", 968 Reviews,4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,,1 Year of Device & 6 Months for Inbox Accessories,Aurora Gold,https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUQMTHYHSH&lid=LSTMOBGZBFUQMTHYHSHXWZGSH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=browse&iid=ff5b72bd-19bc-414a-957f-41d24055140c.MOBGZBFUQMTHYHSH.SEARCH&ssid=jfrrh8dvhs0000001686306697150
"MOTOROLA G32 (Mineral Gray, 128 GB)  (8 GB RAM)","₹11,999",36% off,4.1,"16,926 Ratings "," 1,409 Reviews",8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,,1 Year on Handset and 6 Months on AccessoriesKnow More,Mineral Gray,https://www.flipkart.com/motorola-g32-mineral-gray-128-gb/p/itm6061450cb40ac?pid=MOBGM2EHJUTMXMFV&lid=LSTMOBGM2EHJUTMXMFVL5MPKC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_26&otracker=browse&iid=ff5b72bd-19bc-414a-957f-41d24055140c.MOBGM2EHJUTMXMFV.SEARCH&ssid=jfrrh8dvhs0000001686306697150
"MOTOROLA e13 (Creamy White, 64 GB)  (4 GB RAM)","₹7,299",33% off,4,"23,707 Ratings "," 1,960 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,,1 Year on Handset and 6 Months on AccessoriesKnow More,Creamy White,https://www.flipkart.com/motorola-e13-creamy-white-64-gb/p/itmf3d07ab74c343?pid=MOBGKHNBQSZVJGZJ&lid=LSTMOBGKHNBQSZVJGZJXVIBSR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_27&otracker=browse&iid=ff5b72bd-19bc-414a-957f-41d24055140c.MOBGKHNBQSZVJGZJ.SEARCH&ssid=jfrrh8dvhs0000001686306697150
"realme 11 Pro 5G (Sunrise Beige, 128 GB)  (8 GB RAM)","₹23,999",7% off,5,,,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,100MP + 2MP | 16MP Front Camera,5000 mAh Battery,,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,Sunrise Beige,https://www.flipkart.com/realme-11-pro-5g-sunrise-beige-128-gb/p/itm3f783627a36ec?pid=MOBGPUNGXUZQKTTB&lid=LSTMOBGPUNGXUZQKTTBYNPFLU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_28&otracker=browse&iid=en_S%2BHtr6%2BECsAspJ7%2FJbmoLx%2B7dresFiWhhF5pXSPtS1jS25FZWfnStHsggUstzyPjRmyZOGIiuyIGyP7dAmPLog%3D%3D&ssid=jfrrh8dvhs0000001686306697150
"POCO C55 (Cool Blue, 64 GB)  (4 GB RAM)","₹7,749",35% off,4.2,"20,294 Ratings "," 1,126 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Cool Blue,https://www.flipkart.com/poco-c55-cool-blue-64-gb/p/itm166c52f5d5dc0?pid=MOBGMXSW55C7ZJE7&lid=LSTMOBGMXSW55C7ZJE7OFBLA7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=browse&iid=ff5b72bd-19bc-414a-957f-41d24055140c.MOBGMXSW55C7ZJE7.SEARCH&ssid=jfrrh8dvhs0000001686306697150
"realme C55 (Sunshower, 128 GB)  (8 GB RAM)","₹13,999",12% off,4.4,"11,526 Ratings ", 631 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Sunshower,https://www.flipkart.com/realme-c55-sunshower-128-gb/p/itm054283d14c56e?pid=MOBGNBYJUA2G5HK4&lid=LSTMOBGNBYJUA2G5HK40FPVVJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=browse&iid=ff5b72bd-19bc-414a-957f-41d24055140c.MOBGNBYJUA2G5HK4.SEARCH&ssid=jfrrh8dvhs0000001686306697150
"realme C55 (Rainforest, 128 GB)  (8 GB RAM)","₹13,999",12% off,4.4,"11,526 Ratings ", 631 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Rainforest,https://www.flipkart.com/realme-c55-rainforest-128-gb/p/itm054283d14c56e?pid=MOBGNBYJPF2DEADS&lid=LSTMOBGNBYJPF2DEADSUWHGW7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=browse&iid=ff5b72bd-19bc-414a-957f-41d24055140c.MOBGNBYJPF2DEADS.SEARCH&ssid=jfrrh8dvhs0000001686306697150
"realme 11 Pro+ 5G (Astral Black, 256 GB)  (8 GB RAM)","₹27,999",6% off,5,,,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,200MP + 8MP + 2MP | 32MP Front Camera,5000 mAh Battery,,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,Astral Black,https://www.flipkart.com/realme-11-pro-5g-astral-black-256-gb/p/itm5647cce338e55?pid=MOBGPU8HRUUHYEWE&lid=LSTMOBGPU8HRUUHYEWEOXYFS1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=browse&iid=en_S%2BHtr6%2BECsAspJ7%2FJbmoLx%2B7dresFiWhhF5pXSPtS1iZ3Vam7cFXqRHFhY862zipN44ikV7iXnh8AiyCwhx8xQ%3D%3D&ssid=jfrrh8dvhs0000001686306697150
"realme C55 (Rainy Night, 64 GB)  (6 GB RAM)","₹11,999",14% off,4.3,"8,335 Ratings ", 548 Reviews,6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Rainy Night,https://www.flipkart.com/realme-c55-rainy-night-64-gb/p/itm054283d14c56e?pid=MOBGNBYJVHS63AAY&lid=LSTMOBGNBYJVHS63AAY2TVRIY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=browse&iid=ff5b72bd-19bc-414a-957f-41d24055140c.MOBGNBYJVHS63AAY.SEARCH&ssid=jfrrh8dvhs0000001686306697150
"realme C55 (Rainforest, 64 GB)  (6 GB RAM)","₹11,999",14% off,4.3,"8,335 Ratings ", 548 Reviews,6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Rainforest,https://www.flipkart.com/realme-c55-rainforest-64-gb/p/itm054283d14c56e?pid=MOBGNBYJ3GSGXWYQ&lid=LSTMOBGNBYJ3GSGXWYQAWLW8U&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=browse&iid=ff5b72bd-19bc-414a-957f-41d24055140c.MOBGNBYJ3GSGXWYQ.SEARCH&ssid=jfrrh8dvhs0000001686306697150
